,CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd
21438,25,Q,Q214,P.S. 214 Cadwallader Colden,0K,GEN ED,-,-,-,48.0,2.0,24.0,24.0,24.0,ATS,,25
21439,25,Q,Q214,P.S. 214 Cadwallader Colden,01,GEN ED,-,-,-,56.0,2.0,28.0,27.0,29.0,ATS,,25
21440,25,Q,Q214,P.S. 214 Cadwallader Colden,02,GEN ED,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,,25
21441,25,Q,Q214,P.S. 214 Cadwallader Colden,02,CTT,-,-,-,28.0,1.0,28.0,28.0,28.0,ATS,,25
21442,25,Q,Q214,P.S. 214 Cadwallader Colden,03,GEN ED,-,-,-,47.0,2.0,23.5,23.0,24.0,ATS,,25
21443,25,Q,Q214,P.S. 214 Cadwallader Colden,03,CTT,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,,25
21444,25,Q,Q214,P.S. 214 Cadwallader Colden,04,GEN ED,-,-,-,70.0,3.0,23.3,23.0,24.0,ATS,,25
21445,25,Q,Q214,P.S. 214 Cadwallader Colden,05,GEN ED,-,-,-,86.0,3.0,28.7,28.0,30.0,ATS,,25
21446,25,Q,Q214,P.S. 214 Cadwallader Colden,0K-09,SPEC ED,-,-,12:1:1,7.0,1.0,7.0,7.0,7.0,ATS,,25
21447,25,Q,Q214,P.S. 214 Cadwallader Colden,,,,,,,,,,,,13.2,25
21448,25,Q,Q219,P.S. 219 Paul Klapper,0K,GEN ED,-,-,-,49.0,2.0,24.5,24.0,25.0,ATS,,25
21449,25,Q,Q219,P.S. 219 Paul Klapper,0K,CTT,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,,25
21450,25,Q,Q219,P.S. 219 Paul Klapper,01,GEN ED,-,-,-,46.0,2.0,23.0,22.0,24.0,ATS,,25
21451,25,Q,Q219,P.S. 219 Paul Klapper,02,GEN ED,-,-,-,48.0,2.0,24.0,23.0,25.0,ATS,,25
21452,25,Q,Q219,P.S. 219 Paul Klapper,03,GEN ED,-,-,-,38.0,2.0,19.0,19.0,19.0,ATS,,25
21453,25,Q,Q219,P.S. 219 Paul Klapper,03,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,25
21454,25,Q,Q219,P.S. 219 Paul Klapper,04,GEN ED,-,-,-,50.0,2.0,25.0,25.0,25.0,ATS,,25
21455,25,Q,Q219,P.S. 219 Paul Klapper,05,GEN ED,-,-,-,29.0,1.0,29.0,29.0,29.0,ATS,,25
21456,25,Q,Q219,P.S. 219 Paul Klapper,05,CTT,-,-,-,28.0,1.0,28.0,28.0,28.0,ATS,,25
21457,25,Q,Q219,P.S. 219 Paul Klapper,06,GEN ED,-,-,-,29.0,1.0,29.0,29.0,29.0,ATS,,25
21458,25,Q,Q219,P.S. 219 Paul Klapper,06,CTT,-,-,-,30.0,1.0,30.0,30.0,30.0,ATS,,25
